datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-28 08:58:07.946953,0,46446452736,15188840448,12637.4375,36502.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625,3596.4375,45543.5625
2022-07-28 08:58:09.978330,0,52030226432,9601265664,14109.4375,35030.5625,5398.4375,43741.5625,5418.4375,43721.5625,7734.4375,41405.5625,6778.4375,42361.5625,7018.4375,42121.5625,5746.4375,43393.5625,5890.4375,43249.5625
2022-07-28 08:58:11.986396,0,55975825408,5654360064,17729.4375,31410.5625,10308.4375,38831.5625,8716.4375,40423.5625,10216.4375,38923.5625,10956.4375,38183.5625,10340.4375,38799.5625,9188.4375,39951.5625,9842.4375,39297.5625
2022-07-28 08:58:13.991136,0,55992770560,5638123520,21297.4375,27842.5625,10308.4375,38831.5625,12680.4375,36459.5625,10608.4375,38531.5625,10956.4375,38183.5625,14482.4375,34657.5625,12726.4375,36413.5625,14674.4375,34465.5625
2022-07-28 08:58:15.994968,0,55999782912,5630963712,21297.4375,27842.5625,10308.4375,38831.5625,16380.4375,32759.5625,14478.4375,34661.5625,10956.4375,38183.5625,14482.4375,34657.5625,16482.4375,32657.5625,14674.4375,34465.5625
2022-07-28 08:58:17.998007,0,56007446528,5617577984,24775.4375,24364.5625,10314.4375,38825.5625,19904.4375,29235.5625,14478.4375,34661.5625,15640.4375,33499.5625,18346.4375,30793.5625,20734.4375,28405.5625,14676.4375,34463.5625
2022-07-28 08:58:20.001150,0,56439234560,5181718528,28043.4375,21096.5625,14790.4375,34349.5625,19904.4375,29235.5625,14478.4375,34661.5625,15640.4375,33499.5625,18346.4375,30793.5625,20734.4375,28405.5625,14676.4375,34463.5625
2022-07-28 08:58:22.004181,0,56018812928,5595947008,28043.4375,21096.5625,14790.4375,34349.5625,19904.4375,29235.5625,14478.4375,34661.5625,15640.4375,33499.5625,18534.4375,30605.5625,25550.4375,23589.5625,14872.4375,34267.5625
2022-07-28 08:58:24.007292,0,56019857408,5595955200,28043.4375,21096.5625,15194.4375,33945.5625,19904.4375,29235.5625,18108.4375,31031.5625,15640.4375,33499.5625,18534.4375,30605.5625,25550.4375,23589.5625,14872.4375,34267.5625
2022-07-28 08:58:26.010522,0,56025178112,5591937024,28043.4375,21096.5625,15194.4375,33945.5625,19904.4375,29235.5625,18108.4375,31031.5625,15640.4375,33499.5625,18534.4375,30605.5625,25550.4375,23589.5625,14872.4375,34267.5625
2022-07-28 08:58:28.014279,0,56028831744,5588172800,28043.4375,21096.5625,15194.4375,33945.5625,19904.4375,29235.5625,18108.4375,31031.5625,16008.4375,33131.5625,18534.4375,30605.5625,25550.4375,23589.5625,14872.4375,34267.5625
2022-07-28 08:58:30.017544,0,56027611136,5587005440,28043.4375,21096.5625,15194.4375,33945.5625,19904.4375,29235.5625,18108.4375,31031.5625,16008.4375,33131.5625,18534.4375,30605.5625,25550.4375,23589.5625,14872.4375,34267.5625
2022-07-28 08:58:32.020523,0,56032796672,5581062144,28045.4375,21094.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:34.023480,0,56737169408,4877758464,28045.4375,21094.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:36.026511,0,56035545088,5578145792,28045.4375,21094.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:38.029617,0,56034086912,5579866112,28045.4375,21094.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:40.032769,0,56037552128,5577363456,28049.4375,21090.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:42.037320,0,56040136704,5574795264,28049.4375,21090.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:44.040568,0,56041865216,5572427776,28049.4375,21090.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:46.044363,0,56041381888,5573537792,28049.4375,21090.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:48.047334,0,57156849664,4458070016,28049.4375,21090.5625,15194.4375,33945.5625,23296.4375,25843.5625,18108.4375,31031.5625,20450.4375,28689.5625,22166.4375,26973.5625,25550.4375,23589.5625,19248.4375,29891.5625
2022-07-28 08:58:50.049513,0,56040910848,5573976064,28049.4375,21090.5625,15194.4375,33945.5625,23298.4375,25841.5625,21462.4375,27677.5625,24784.4375,24355.5625,22166.4375,26973.5625,25550.4375,23589.5625,19264.4375,29875.5625
2022-07-28 08:58:52.052801,0,56043016192,5570625536,28049.4375,21090.5625,15194.4375,33945.5625,23298.4375,25841.5625,21462.4375,27677.5625,24784.4375,24355.5625,22166.4375,26973.5625,25550.4375,23589.5625,19264.4375,29875.5625
2022-07-28 08:58:54.055957,0,56043905024,5570392064,28049.4375,21090.5625,15194.4375,33945.5625,23298.4375,25841.5625,21462.4375,27677.5625,24784.4375,24355.5625,22166.4375,26973.5625,25550.4375,23589.5625,19264.4375,29875.5625
2022-07-28 08:58:56.059195,0,56049471488,5565337600,28049.4375,21090.5625,15194.4375,33945.5625,23298.4375,25841.5625,21462.4375,27677.5625,24784.4375,24355.5625,22166.4375,26973.5625,25550.4375,23589.5625,19264.4375,29875.5625
2022-07-28 08:58:58.062318,0,56049356800,5564841984,28049.4375,21090.5625,15194.4375,33945.5625,23298.4375,25841.5625,21462.4375,27677.5625,24784.4375,24355.5625,22166.4375,26973.5625,25550.4375,23589.5625,19264.4375,29875.5625
